"","Brewery","City","State","Beer","Style","ABV","IBU","Ounces"
"1205","Brewery Vivant","Grand Rapids"," MI","Dubbelicious","Dubbel",0.065,NA,16
"1206","Brewery Vivant","Grand Rapids"," MI","Cherry Doppelbock","Doppelbock",0.065,NA,16
"1207","Brewery Vivant","Grand Rapids"," MI","Tropical Saison","Saison / Farmhouse Ale",0.065,NA,16
"1208","Brewery Vivant","Grand Rapids"," MI","Tart Side of the Moon","Belgian Dark Ale",0.098,NA,16
"1209","Brewery Vivant","Grand Rapids"," MI","Vivant Tripel","Tripel",0.082,NA,16
"1210","Brewery Vivant","Grand Rapids"," MI","Le Flaneur Ale","American Wild Ale",0.073,NA,16
"1211","Brewery Vivant","Grand Rapids"," MI","Plow Horse Belgian Style Imperial Stout","American Double / Imperial Stout",0.095,NA,16
"1212","Brewery Vivant","Grand Rapids"," MI","Escoffier Bretta Ale","American Wild Ale",0.092,NA,16
"1213","Brewery Vivant","Grand Rapids"," MI","Tree Bucket","Belgian IPA",0.093,NA,16
"1214","Brewery Vivant","Grand Rapids"," MI","Linnaeus Mango IPA","American IPA",0.06,NA,16
"1215","Brewery Vivant","Grand Rapids"," MI","Maize & Blueberry","Fruit / Vegetable Beer",0.056,NA,16
"1216","Brewery Vivant","Grand Rapids"," MI","Verdun","Bière de Garde",0.077,NA,16
"1217","Brewery Vivant","Grand Rapids"," MI","Zaison (2012)","Saison / Farmhouse Ale",0.09,NA,16
"1218","Brewery Vivant","Grand Rapids"," MI","Zaison","Saison / Farmhouse Ale",0.09,NA,16
"1219","Brewery Vivant","Grand Rapids"," MI","Psychopomp","Belgian Dark Ale",0.062,NA,16
"1220","Brewery Vivant","Grand Rapids"," MI","Vivant Belgian Style Imperial Stout (2012)","Russian Imperial Stout",0.099,NA,16
"1221","Brewery Vivant","Grand Rapids"," MI","Barrel Aged Triomphe","Belgian IPA",0.065,NA,16
"1222","Brewery Vivant","Grand Rapids"," MI","Vivant Tripel (2012)","Tripel",0.092,NA,16
"1223","Brewery Vivant","Grand Rapids"," MI","Beasts A'Burnin'","Rauchbier",0.07,NA,16
"1224","Brewery Vivant","Grand Rapids"," MI","Trebuchet Double IPA (2012)","Belgian IPA",0.097,NA,16
"1225","Petoskey Brewing","Petoskey"," MI","Horny Monk","Dubbel",0.069,20,16
"1226","Petoskey Brewing","Petoskey"," MI","Mind's Eye PA","American IPA",0.067,74,16
"1227","Petoskey Brewing","Petoskey"," MI","North 45 Amber Ale","American Amber / Red Ale",0.059,25,16
"1228","Petoskey Brewing","Petoskey"," MI","Sparkle","American Pale Lager",0.041,12,16
"1229","Blackrocks Brewery","Marquette"," MI","Coconut Brown Ale","American Brown Ale",0.068,NA,12
"1230","Blackrocks Brewery","Marquette"," MI","North Third Stout","Foreign / Export Stout",0.06,30,12
"1231","Blackrocks Brewery","Marquette"," MI","Honey Lav","American Pale Wheat Ale",0.052,NA,12
"1232","Blackrocks Brewery","Marquette"," MI","Nordskye ","American IPA",0.048,47,12
"1233","Blackrocks Brewery","Marquette"," MI","51K IPA","American IPA",0.07,51,12
"1234","Blackrocks Brewery","Marquette"," MI","Grand Rabbits","Cream Ale",0.055,NA,12
"1235","Perrin Brewing Company","Comstock Park"," MI","Black","American Black Ale",0.058,NA,12
"1236","Perrin Brewing Company","Comstock Park"," MI","98 Problems (Cuz A Hop Ain't One)","American IPA",0.065,65,12
"1237","Perrin Brewing Company","Comstock Park"," MI","Hotbox Brown","American Brown Ale",0.055,10,12
"1238","Perrin Brewing Company","Comstock Park"," MI","Grapefruit IPA","American IPA",0.05,35,12
"1239","Perrin Brewing Company","Comstock Park"," MI","Gold","American Blonde Ale",0.048,15,12
"1240","Perrin Brewing Company","Comstock Park"," MI","Veteran’s Pale Ale (VPA)","American Pale Ale (APA)",0.05,40,12
"1241","Witch's Hat Brewing Company","South Lyon"," MI","Edward’s Portly Brown","American Brown Ale",0.045,NA,12
"1242","Witch's Hat Brewing Company","South Lyon"," MI","Train Hopper","American IPA",0.058,72,12
"1243","Founders Brewing Company","Grand Rapids"," MI","Dirty Bastard","Scotch Ale / Wee Heavy",0.085,50,12
"1244","Founders Brewing Company","Grand Rapids"," MI","Centennial IPA","American IPA",0.072,65,12
"1245","Founders Brewing Company","Grand Rapids"," MI","All Day IPA","American IPA",0.047,42,12
"1246","Gonzo's BiggDogg Brewing","Kalamazoo"," MI","Vanilla Porter","American Porter",0.07,11,16
"1247","Latitude 42 Brewing Company","Portage"," MI","Beach Cruiser","Hefeweizen",0.045,NA,12
"1248","Latitude 42 Brewing Company","Portage"," MI","10 Degrees of Separation","English Brown Ale",0.055,NA,12
"1249","Latitude 42 Brewing Company","Portage"," MI","I.P. Eh!","American IPA",0.068,NA,12
"1250","Latitude 42 Brewing Company","Portage"," MI","Schoolhouse Honey","American Amber / Red Ale",0.05,NA,12
"1251","Atwater Brewery","Detroit"," MI","Grand Circus IPA","American IPA",0.05,62,12
"1252","Atwater Brewery","Detroit"," MI","Vanilla Java Porter","American Porter",0.055,12,16
"1253","Atwater Brewery","Detroit"," MI","Atwater's Lager","Munich Helles Lager",0.05,12,12
"1254","Atwater Brewery","Detroit"," MI","Michelada","Fruit / Vegetable Beer",0.052,NA,16
"1255","Atwater Brewery","Detroit"," MI","Dirty Blonde Ale","American Blonde Ale",0.045,8,12
"1256","Atwater Brewery","Detroit"," MI","Hop A-Peel","American Double / Imperial IPA",0.075,115,16
"1257","Bell's Brewery","Kalamazoo"," MI","Winter White","Witbier",0.05,NA,16
"1258","Bell's Brewery","Kalamazoo"," MI","Oberon","American Pale Wheat Ale",0.058,NA,16
"1259","Bell's Brewery","Kalamazoo"," MI","Oberon","American Pale Wheat Ale",0.058,NA,12
"1260","Bell's Brewery","Kalamazoo"," MI","Smitten","Rye Beer",0.06,NA,16
"1261","Bell's Brewery","Kalamazoo"," MI","Best Brown","American Brown Ale",0.058,NA,16
"1262","Bell's Brewery","Kalamazoo"," MI","Two Hearted","American IPA",0.07,NA,16
"1263","Keweenaw Brewing Company","Houghton"," MI","U. P. Witbier","Witbier",NA,NA,12
"1264","Keweenaw Brewing Company","Houghton"," MI","Olde Ore Dock Scottish Ale","Scottish Ale",NA,NA,12
"1265","Keweenaw Brewing Company","Houghton"," MI","Red Jacket Amber Ale","American Amber / Red Ale",NA,NA,12
"1266","Keweenaw Brewing Company","Houghton"," MI","November Gale Pale Ale","American Pale Ale (APA)",NA,NA,12
"1267","Keweenaw Brewing Company","Houghton"," MI","Lift Bridge Brown Ale","American Brown Ale",NA,NA,12
"1268","Keweenaw Brewing Company","Houghton"," MI","Pick Axe Blonde Ale","American Blonde Ale",NA,NA,12
"1269","Keweenaw Brewing Company","Houghton"," MI","Widow Maker Black Ale","American Brown Ale",NA,NA,12
"1270","Brewery Terra Firma","Traverse City"," MI","Manitou Amber","American Amber / Red Ale",0.053,NA,16
"1271","Cheboygan Brewing Company","Cheboygan"," MI","Blood Orange Honey","Fruit / Vegetable Beer",0.057,10,16
"1272","Cheboygan Brewing Company","Cheboygan"," MI","IPA #11","American IPA",0.057,58,16
"1273","Cheboygan Brewing Company","Cheboygan"," MI","Lighthouse Amber","Altbier",0.052,NA,16
"1274","Griffin Claw Brewing Company","Birmingham"," MI","Mr. Blue Sky","American Pale Wheat Ale",0.045,6,16
"1275","Griffin Claw Brewing Company","Birmingham"," MI","Grand Trunk Bohemian Pils","Czech Pilsener",0.05,35,16
"1276","Griffin Claw Brewing Company","Birmingham"," MI","Norm's Gateway IPA","American IPA",0.04,55,12
"1277","Griffin Claw Brewing Company","Birmingham"," MI","Grind Line","American Pale Ale (APA)",0.05,35,16
"1278","Griffin Claw Brewing Company","Birmingham"," MI","Screamin’ Pumpkin","Pumpkin Ale",0.05,25,16
"1279","Griffin Claw Brewing Company","Birmingham"," MI","El Rojo","American Amber / Red Ale",0.065,25,16
"1280","Griffin Claw Brewing Company","Birmingham"," MI","Lemon Shandy Tripel","Tripel",0.09,NA,16
"1281","Griffin Claw Brewing Company","Birmingham"," MI","3 Scrooges","Winter Warmer",0.065,NA,16
"1282","Griffin Claw Brewing Company","Birmingham"," MI","Norm's Raggedy Ass IPA","American IPA",0.075,NA,16
"1283","Sietsema Orchards and Cider Mill","Ada"," MI","Sietsema Red Label","Cider",0.069,NA,16
"1284","Right Brain Brewery","Traverse City"," MI","Smooth Operator","Cream Ale",0.038,NA,16
"1285","Vander Mill Ciders","Spring Lake"," MI","Hard Apple","Cider",0.068,NA,16
"1286","Vander Mill Ciders","Spring Lake"," MI","Totally Roasted","Cider",0.068,NA,16
"1287","Vander Mill Ciders","Spring Lake"," MI","Nunica Pine","Cider",0.068,NA,16
"1288","Vander Mill Ciders","Spring Lake"," MI","Blue Gold","Cider",0.068,NA,16
"1289","Vander Mill Ciders","Spring Lake"," MI","Ginger Peach","Cider",0.069,NA,16
"1290","St. Julian Winery","Paw Paw"," MI","Gunga Din","Cider",0.052,NA,16
"1291","Rochester Mills Brewing Company","Rochester"," MI","Rochester Red Ale","American Amber / Red Ale",0.059,NA,16
"1292","Rochester Mills Brewing Company","Rochester"," MI","Pine Knob Pilsner","Czech Pilsener",0.053,NA,16
"1293","Rochester Mills Brewing Company","Rochester"," MI","Lazy Daze Lager","American Adjunct Lager",0.055,NA,16
"1294","Rochester Mills Brewing Company","Rochester"," MI","Milkshake Stout","Milk / Sweet Stout",0.05,NA,16
"1295","Rochester Mills Brewing Company","Rochester"," MI","Cal and Co. Black Cherry Porter","American Porter",NA,NA,16
"1296","Rochester Mills Brewing Company","Rochester"," MI","Lazy Daze Lager","American Adjunct Lager",0.055,NA,12
"1297","Rochester Mills Brewing Company","Rochester"," MI","Cornerstone IPA","American IPA",0.07,NA,16
"1298","Frankenmuth Brewery","Frankenmuth"," MI","Twisted Helles Summer Lager","Munich Helles Lager",0.055,18,12
"1299","Frankenmuth Brewery","Frankenmuth"," MI","Batch 69 IPA","American IPA",0.069,69,12
"1300","Frankenmuth Brewery","Frankenmuth"," MI","Old Detroit","American Amber / Red Ale",0.056,NA,12
"1301","Meckley's Cidery","Somerset Center"," MI","Cherry Bomb","Cider",0.069,NA,16
"1302","Meckley's Cidery","Somerset Center"," MI","Bushwhacker Cider","Cider",0.069,NA,16
"1303","Meckley's Cidery","Somerset Center"," MI","Weim-R-Iner","Cider",0.069,NA,16
"1304","Mountain Town Brewing Company ","Mount Pleasant"," MI","Train Wreck","American Amber / Red Ale",0.082,NA,16
"1305","Uncle John's Fruit House Winery","St. John's"," MI","Uncle John's Apple Cherry Cider","Cider",0.065,NA,16
"1306","Uncle John's Fruit House Winery","St. John's"," MI","Uncle John's Apricot Apple Cider","Cider",0.065,NA,16
"1307","Uncle John's Fruit House Winery","St. John's"," MI","Draught Hard Apple Cider","Cider",0.065,NA,16
"1308","White Flame Brewing Company","Hudsonville"," MI","Super G IPA","American IPA",0.06,NA,16
"1309","Saugatuck Brewing Company","Douglas"," MI","Oval Beach Blonde Ale","American Blonde Ale",0.05,11,16
"1310","Wolverine State Brewing Company","Ann Arbor"," MI","Wolverine Premium Lager","American Pale Lager",0.047,15,12
"1311","The Right Brain Brewery","Traverse City"," MI","Northern Hawk Owl Amber","American Amber / Red Ale",0.058,NA,12
"1312","The Right Brain Brewery","Traverse City"," MI","Will Power Pale Ale","American Pale Ale (APA)",0.047,NA,16
"1313","The Right Brain Brewery","Traverse City"," MI","CEO Stout","American Stout",0.059,NA,16
"1314","MillKing It Productions","Royal Oak"," MI","BRIK Irish Red Ale","Irish Red Ale",0.048,NA,16
"1315","MillKing It Productions","Royal Oak"," MI","AXL Pale Ale","American Pale Ale (APA)",NA,NA,16
"1316","MillKing It Productions","Royal Oak"," MI","SNO White Ale","Witbier",0.048,NA,16
"1317","Arcadia Brewing Company","Battle Creek"," MI","Whitsun","American Pale Wheat Ale",0.062,17,12
"1318","Arcadia Brewing Company","Battle Creek"," MI","Sky High Rye","American Pale Ale (APA)",0.06,55,12
"1319","NorthGate Brewing ","Minneapolis"," MN","Pumpion","Pumpkin Ale",0.06,38,16
"1320","NorthGate Brewing ","Minneapolis"," MN","Stronghold","American Porter",0.06,25,16
"1321","NorthGate Brewing ","Minneapolis"," MN","Parapet ESB","Extra Special / Strong Bitter (ESB)",0.056,47,16
"1322","NorthGate Brewing ","Minneapolis"," MN","Get Together","American IPA",0.045,50,16
"1323","NorthGate Brewing ","Minneapolis"," MN","Maggie's Leap","Milk / Sweet Stout",0.049,26,16
"1324","NorthGate Brewing ","Minneapolis"," MN","Wall's End","English Brown Ale",0.048,19,16
"1325","Bent Brewstillery","Roseville"," MN","Uber Lupin Schwarz IPA","American Double / Imperial IPA",0.083,NA,16
"1326","Bent Brewstillery","Roseville"," MN","Moar","English India Pale Ale (IPA)",0.044,44,12
"1327","Bent Brewstillery","Roseville"," MN","Nordic Blonde","American Blonde Ale",0.057,27,12
"1328","Summit Brewing Company","St. Paul"," MN","Make It So","Extra Special / Strong Bitter (ESB)",0.053,40,12
"1329","Summit Brewing Company","St. Paul"," MN","Hopvale Organic Ale","American Pale Ale (APA)",0.047,55,16
"1330","Summit Brewing Company","St. Paul"," MN","Unchained #18 Hop Silo","American Double / Imperial IPA",0.083,100,16
"1331","Surly Brewing Company","Brooklyn Center"," MN","CynicAle","Saison / Farmhouse Ale",0.067,33,16
"1332","Surly Brewing Company","Brooklyn Center"," MN","Coffee Bender","American Brown Ale",0.051,45,16
"1333","Surly Brewing Company","Brooklyn Center"," MN","Furious","American IPA",0.062,99,16
"1334","Surly Brewing Company","Brooklyn Center"," MN","Abrasive Ale","American Double / Imperial IPA",0.097,120,16
"1335","Surly Brewing Company","Brooklyn Center"," MN","Bitter Brewer","English Bitter",0.04,37,16
"1336","Surly Brewing Company","Brooklyn Center"," MN","SurlyFest","Rye Beer",0.055,34,16
"1337","Surly Brewing Company","Brooklyn Center"," MN","Doomtree","Extra Special / Strong Bitter (ESB)",0.057,NA,16
"1338","Surly Brewing Company","Brooklyn Center"," MN","Todd the Axe Man","American IPA",0.072,NA,16
"1339","Surly Brewing Company","Brooklyn Center"," MN","Hell","Keller Bier / Zwickel Bier",0.051,20,16
"1340","Surly Brewing Company","Brooklyn Center"," MN","Overrated! West Coast Style IPA","American IPA",0.073,69,16
"1341","Surly Brewing Company","Brooklyn Center"," MN","BLAKKR","American Black Ale",0.099,85,16
"1342","Surly Brewing Company","Brooklyn Center"," MN","WET","American IPA",0.075,90,16
"1343","Surly Brewing Company","Brooklyn Center"," MN","Bender","American Brown Ale",0.051,45,16
"1344","Bent Paddle Brewing Company","Duluth"," MN","Venture Pils","German Pilsener",0.05,38,12
"1345","Bent Paddle Brewing Company","Duluth"," MN","14° ESB ","Extra Special / Strong Bitter (ESB)",0.056,32,12
"1346","Bent Paddle Brewing Company","Duluth"," MN","Bent Paddle Black Ale","American Black Ale",0.06,34,12
"1347","Bent Paddle Brewing Company","Duluth"," MN","Harness the Winter","American IPA",0.072,87,12
"1348","Bent Paddle Brewing Company","Duluth"," MN","Bent Hop Golden IPA","American IPA",0.062,68,12
"1349","Bent Paddle Brewing Company","Duluth"," MN","Cold Press","American Black Ale",0.06,NA,12
"1350","Summit Brewing Company","St Paul"," MN","Extra Pale Ale","American Pale Ale (APA)",0.053,49,12
"1351","Third Street Brewhouse","Cold Spring"," MN","Hunny Do Wheat","American Pale Wheat Ale",0.048,18,12
"1352","Third Street Brewhouse","Cold Spring"," MN","Rise to the Top","Cream Ale",0.041,NA,12
"1353","Third Street Brewhouse","Cold Spring"," MN","Three Way Pale Ale","American Pale Ale (APA)",0.052,NA,12
"1354","Third Street Brewhouse","Cold Spring"," MN","Lost Trout Brown Ale","American Brown Ale",0.049,NA,12
"1355","Lift Bridge Brewing Company","Stillwater"," MN","Getaway","German Pilsener",0.052,30,16
"1356","Lift Bridge Brewing Company","Stillwater"," MN","Farm Girl Saison","Saison / Farmhouse Ale",0.06,30,16
"1357","Bauhaus Brew Labs","Minneapolis"," MN","Wagon Party","California Common / Steam Beer",0.054,55,12
"1358","Bauhaus Brew Labs","Minneapolis"," MN","Stargrazer","Schwarzbier",0.05,28,12
"1359","Bauhaus Brew Labs","Minneapolis"," MN","Wonderstuff","German Pilsener",0.054,48,12
"1360","Bauhaus Brew Labs","Minneapolis"," MN","Sky-Five","American IPA",0.067,70,12
"1361","Indeed Brewing Company","Minneapolis"," MN","Midnight Ryder","American Black Ale",0.065,80,12
"1362","Indeed Brewing Company","Minneapolis"," MN","Shenanigans Summer Ale","American Pale Wheat Ale",0.046,27,12
"1363","Indeed Brewing Company","Minneapolis"," MN","Let It Ride IPA","American IPA",0.068,90,12
"1364","Indeed Brewing Company","Minneapolis"," MN","Sweet Yamma Jamma Ale","Fruit / Vegetable Beer",0.05,10,12
"1365","Indeed Brewing Company","Minneapolis"," MN","Stir Crazy Winter Ale","Winter Warmer",0.065,22,12
"1366","Indeed Brewing Company","Minneapolis"," MN","Day Tripper Pale Ale","American Pale Ale (APA)",0.054,45,12
"1367","Big Wood Brewery","Vadnais Heights"," MN","Bad Axe Imperial IPA","American Double / Imperial IPA",0.098,76,16
"1368","Big Wood Brewery","Vadnais Heights"," MN","Jack Pine Savage","American Pale Ale (APA)",0.053,43,16
"1369","Big Wood Brewery","Vadnais Heights"," MN","Morning Wood","Oatmeal Stout",0.055,35,16
"1370","Big Wood Brewery","Vadnais Heights"," MN","Forest Fire Imperial Smoked Rye","Rye Beer",0.099,85,16
"1371","Big Wood Brewery","Vadnais Heights"," MN","Bark Bite IPA","American IPA",0.066,50,16
"1372","Tonka Beer Company","Minnetonka"," MN","Big Island Shandy","Shandy",0.05,NA,16
"1373","Tonka Beer Company","Minnetonka"," MN","Preservation IPA","American IPA",0.068,NA,16
"1374","Boulevard Brewing Company","Kansas City"," MO","Heavy Lifting","American IPA",0.062,80,12
"1375","4 Hands Brewing Company","Saint Louis"," MO","Divided Sky","American IPA",0.065,NA,12
"1376","4 Hands Brewing Company","Saint Louis"," MO","Reprise Centennial Red","American Amber / Red Ale",0.06,NA,12
"1377","4 Hands Brewing Company","Saint Louis"," MO","Cast Iron Oatmeal Brown","American Brown Ale",0.055,NA,12
"1378","4 Hands Brewing Company","Saint Louis"," MO","Resurrected","American IPA",0.065,NA,12
"1379","4 Hands Brewing Company","Saint Louis"," MO","Alter Ego","American Black Ale",0.055,NA,12
"1380","4 Hands Brewing Company","Saint Louis"," MO","Passion Fruit Prussia","Berliner Weissbier",0.035,11,12
"1381","4 Hands Brewing Company","Saint Louis"," MO","Send Help","American Blonde Ale",0.045,18,12
"1382","4 Hands Brewing Company","Saint Louis"," MO","Contact High","American Pale Wheat Ale",0.05,28,12
"1383","Kirkwood Station Brewing Company","Kirkwood"," MO","Blackberry Wheat","American Pale Wheat Ale",0.048,11,16
"1384","Kirkwood Station Brewing Company","Kirkwood"," MO","India Pale Ale","American IPA",0.063,65,16
"1385","Weston Brewing Company","Weston"," MO","O’Malley’s Irish Style Cream Ale","Cream Ale",NA,NA,12
"1386","Weston Brewing Company","Weston"," MO","Rip Van Winkle (Current)","Bock",0.08,NA,12
"1387","Weston Brewing Company","Weston"," MO","O’Malley’s Stout","English Stout",NA,NA,12
"1388","Weston Brewing Company","Weston"," MO","O’Malley’s IPA","American IPA",0.075,89,12
"1389","Weston Brewing Company","Weston"," MO","L'il Lucy's Hot Pepper Ale","Chile Beer",0.049,28,12
"1390","Weston Brewing Company","Weston"," MO","Royal Lager","American Pale Lager",NA,NA,16
"1391","Weston Brewing Company","Weston"," MO","Drop Kick Ale","American Amber / Red Ale",0.052,NA,12
"1392","Mother's Brewing","Springfield"," MO","Towhead","American Blonde Ale",0.052,21,12
"1393","Mother's Brewing","Springfield"," MO","Lil' Helper","American IPA",0.07,70,12
"1394","Piney River Brewing Company","Bucryus"," MO","Hot Date Ale","Chile Beer",0.06,20,16
"1395","Piney River Brewing Company","Bucryus"," MO","Sweet Potato Ale","Fruit / Vegetable Beer",0.06,24,16
"1396","Piney River Brewing Company","Bucryus"," MO","Missouri Mule India Pale Ale","American IPA",0.07,70,16
"1397","Piney River Brewing Company","Bucryus"," MO","Old Tom Porter","American Porter",0.055,25,16
"1398","Piney River Brewing Company","Bucryus"," MO","Float Trip Ale","American Blonde Ale",0.045,18,16
"1399","Piney River Brewing Company","Bucryus"," MO","Black Walnut Wheat","American Dark Wheat Ale",0.045,18,16
"1400","Piney River Brewing Company","Bucryus"," MO","McKinney Eddy Amber Ale","American Amber / Red Ale",0.055,20,16
"1401","Piney River Brewing Company","Bucryus"," MO","Masked Bandit IPA","American Black Ale",0.07,NA,16
"1402","Morgan Street Brewery","Saint Louis"," MO","Golden Pilsner","German Pilsener",0.05,35,12
"1403","Morgan Street Brewery","Saint Louis"," MO","Morgan Street Oktoberfest","Märzen / Oktoberfest",0.049,24,12
"1404","Morgan Street Brewery","Saint Louis"," MO","Black Bear Dark Lager","Schwarzbier",0.046,24,12
"1405","Morgan Street Brewery","Saint Louis"," MO","Honey Wheat","American Pale Wheat Ale",0.047,14,12
"1406","Morgan Street Brewery","Saint Louis"," MO","When Helles Freezes Over","Munich Helles Lager",0.056,18,12
"1407","Schlafly Brewing Company","Saint Louis"," MO","Schlafly Summer Lager","Munich Helles Lager",0.045,17,12
"1408","Schlafly Brewing Company","Saint Louis"," MO","Schlafly Black Lager","Schwarzbier",0.05,NA,12
"1409","Schlafly Brewing Company","Saint Louis"," MO","Schlafly American Brown Ale","American Brown Ale",0.05,30,12
"1410","Schlafly Brewing Company","Saint Louis"," MO","Schlafly IPA","American IPA",0.045,30,12
"1411","Schlafly Brewing Company","Saint Louis"," MO","Schlafly Hefeweizen","Hefeweizen",0.041,16,12
"1412","Schlafly Brewing Company","Saint Louis"," MO","Schlafly Yakima Wheat Ale","American Pale Wheat Ale",0.05,45,12
"1413","O'Fallon Brewery","O'Fallon"," MO","O'Fallon Wheach","Fruit / Vegetable Beer",0.051,7,12
"1414","O'Fallon Brewery","O'Fallon"," MO","O'Fallon Pumpkin Beer","Pumpkin Ale",0.055,NA,12
"1415","O'Fallon Brewery","O'Fallon"," MO","5 Day IPA","American IPA",0.061,66,12
"1416","Southern Prohibition Brewing Com...","Hattiesburg"," MS","Suzy B Dirty Blonde Ale","American Blonde Ale",0.05,20,16
"1417","Southern Prohibition Brewing Com...","Hattiesburg"," MS","Hipster Breakfast","Oatmeal Stout",0.058,40,16
"1418","Southern Prohibition Brewing Com...","Hattiesburg"," MS","Sinister Minister Black IPA","American IPA",0.077,65,16
"1419","Southern Prohibition Brewing Com...","Hattiesburg"," MS","Mississippi Fire Ant","American Amber / Red Ale",0.08,80,16
"1420","Southern Prohibition Brewing Com...","Hattiesburg"," MS","Devil's Harvest Extra Pale Ale","American Pale Ale (APA)",0.058,60,16
"1421","Southern Prohibition Brewing Com...","Hattiesburg"," MS","Jack the Sipper","Extra Special / Strong Bitter (ESB)",0.053,45,12
"1422","Southern Prohibition Brewing Com...","Hattiesburg"," MS","Devil's Harvest Extra Pale Ale","American Pale Ale (APA)",0.058,60,12
"1423","Southern Prohibition Brewing Com...","Hattiesburg"," MS","Suzy B Dirty Blonde Ale","American Blonde Ale",0.05,20,12
"1424","Southern Prohibition Brewing Com...","Hattiesburg"," MS","2014 IPA Cicada Series","American IPA",0.075,72,16
"1425","Lucky Town Brewing Company","Jackson"," MS","Pub Ale","English Dark Mild Ale",0.038,18,12
"1426","Lucky Town Brewing Company","Jackson"," MS","Ballistic Blonde","Belgian Pale Ale",0.051,31,12
"1427","Bozeman Brewing Company","Bozeman"," MT","Bozone Select Amber Ale","American Amber / Red Ale",0.055,NA,12
"1428","Bozeman Brewing Company","Bozeman"," MT","Plum St. Porter","American Porter",0.057,52,12
"1429","Bozeman Brewing Company","Bozeman"," MT","Bozone HopZone IPA","American IPA",0.07,80,12
"1430","Bozeman Brewing Company","Bozeman"," MT","Plum St. Porter","American Porter",0.06,52,12
"1431","Bozeman Brewing Company","Bozeman"," MT","Bozone Hefe Weizen","Hefeweizen",0.06,25,12
"1432","Big Sky Brewing Company","Missoula"," MT","Moose Drool Brown Ale (2009)","American Brown Ale",0.051,26,12
"1433","Big Sky Brewing Company","Missoula"," MT","Montana Trout Slayer Ale (2009)","American Pale Wheat Ale",0.05,35,12
"1434","Big Sky Brewing Company","Missoula"," MT","Scape Goat Pale Ale (2010)","English Pale Ale",0.05,40,12
"1435","Big Sky Brewing Company","Missoula"," MT","Summer Honey","American Blonde Ale",0.047,NA,12
"1436","Big Sky Brewing Company","Missoula"," MT","Montana Trout Slayer Ale","American Pale Wheat Ale",0.05,35,12
"1437","Big Sky Brewing Company","Missoula"," MT","Scape Goat Pale Ale","English Pale Ale",0.05,40,12
"1438","Big Sky Brewing Company","Missoula"," MT","Moose Drool Brown Ale","American Brown Ale",0.051,26,12
"1439","Big Sky Brewing Company","Missoula"," MT","Big Sky IPA","American IPA",0.062,65,12
"1440","Big Sky Brewing Company","Missoula"," MT","Big Sky IPA (2012)","American IPA",0.062,65,12
"1441","Big Sky Brewing Company","Missoula"," MT","Moose Drool Brown Ale (2011)","American Brown Ale",0.051,26,12
"1442","Big Sky Brewing Company","Missoula"," MT","Powder Hound Winter Ale","English Strong Ale",0.072,60,12
"1443","Big Sky Brewing Company","Missoula"," MT","Montana Trout Slayer Ale (2012)","American Pale Wheat Ale",0.05,35,12
"1444","Bitter Root Brewing","Hamilton"," MT","Single Hop Ale","American Pale Ale (APA)",0.063,NA,12
"1445","Bitter Root Brewing","Hamilton"," MT","Blown Out Brown","American Brown Ale",0.052,NA,12
"1446","Bitter Root Brewing","Hamilton"," MT","Sawtooth Ale","American Blonde Ale",0.054,NA,12
"1447","Tamarack Brewing Company","Lakeside"," MT","Hat Trick Hop IPA","American IPA",0.068,NA,16
"1448","Tamarack Brewing Company","Lakeside"," MT","Yard Sale Amber Ale","American Amber / Red Ale",0.056,NA,16
"1449","Wildwood Brewing Company","Stevensville"," MT","Mystical Stout","Irish Dry Stout",0.054,NA,16
"1450","Wildwood Brewing Company","Stevensville"," MT","Bodacious Bock","Bock",0.075,NA,16
"1451","Wildwood Brewing Company","Stevensville"," MT","Ambitious Lager","Munich Helles Lager",0.05,NA,16
"1452","Kettle House Brewing Company","Missoula"," MT","Cold Smoke Scotch Ale","Scotch Ale / Wee Heavy",0.065,11,16
"1453","Kettle House Brewing Company","Missoula"," MT","Eddy Out Pale Ale","American Pale Ale (APA)",0.055,50,16
"1454","Kettle House Brewing Company","Missoula"," MT","Cold Smoke Scotch Ale (2007)","Scotch Ale / Wee Heavy",0.065,11,16
"1455","Kettle House Brewing Company","Missoula"," MT","Double Haul IPA","American IPA",0.065,65,16
"1456","Kettle House Brewing Company","Missoula"," MT","Double Haul IPA (2009)","American IPA",0.065,65,16
"1457","Kettle House Brewing Company","Missoula"," MT","Double Haul IPA (2006)","American IPA",0.065,65,16
"1458","Harvest Moon Brewing Company","Belt"," MT","Great Falls Select Pale Ale","American Blonde Ale",NA,NA,12
"1459","Harvest Moon Brewing Company","Belt"," MT","Beltian White","Witbier",0.048,NA,12
"1460","Lewis and Clark Brewing Company","Helena"," MT","Back Country Scottish Ale","Scottish Ale",0.057,NA,12
"1461","Lewis and Clark Brewing Company","Helena"," MT","Miner's Gold Hefeweizen","Hefeweizen",0.05,NA,12
"1462","Lewis and Clark Brewing Company","Helena"," MT","Yellowstone Golden Ale","Kölsch",0.051,NA,12
"1463","Lewis and Clark Brewing Company","Helena"," MT","Lewis & Clark Amber Ale","American Amber / Red Ale",0.05,NA,12
"1464","Lewis and Clark Brewing Company","Helena"," MT","Tumbleweed IPA","American IPA",0.057,NA,12
"1465","Great Northern Brewing Company","Whitefish"," MT","Black Star Double Hopped Golden Lager (24 oz.)","American Pale Lager",0.045,15,24
